dir,file,model,seed,train_batch_size,n_users,hr10,coverage,ild_first_level,ild_second_level,ild_kuairand_tag,nocat_first_level,nocat_second_level,nocat_kuairand_tag
local,CAFREC_kuairand_pure_ctx_noprof_local_seed42.json,CAFREC,42,,22912,0.0817,0.19195561719833565,0.8247633576393127,0.905878484249115,0.7900959849357605,2.6187150837988826e-05,0.1888660963687151,0.0034523393854748604
local,CAFREC_kuairand_pure_ctx_np_shuffled_ctx_seed123.json,CAFREC,123,,22912,0.0787,0.19625520110957004,0.8323285579681396,0.9132526516914368,0.8016029000282288,1.7458100558659216e-05,0.20762046089385475,0.001763268156424581
local,CAFREC_kuairand_pure_ctx_np_shuffled_ctx_seed42.json,CAFREC,42,,22912,0.0805,0.1943134535367545,0.8190079927444458,0.9017361402511597,0.7856998443603516,2.6187150837988826e-05,0.1857018156424581,0.003282122905027933
local,CAFREC_kuairand_pure_ctx_np_shuffled_ctx_seed77.json,CAFREC,77,,22912,0.0779,0.19375866851595008,0.826955258846283,0.9042307138442993,0.7950090169906616,0.00014402932960893856,0.19354486731843576,0.004233589385474861
local,CAFREC_kuairand_pure_ctx_np_vector_gate_seed123.json,CAFREC,123,,22912,0.0775,0.16407766990291262,0.8416908979415894,0.9200409054756165,0.8105400800704956,3.928072625698324e-05,0.21814333100558658,0.001313722067039106
local,CAFREC_kuairand_pure_ctx_np_vector_gate_seed42.json,CAFREC,42,,22912,0.0782,0.16990291262135923,0.8280764818191528,0.9087522625923157,0.7906606793403625,0.0,0.19139315642458102,0.00323411312849162
local,CAFREC_kuairand_pure_ctx_np_vector_gate_seed77.json,CAFREC,77,,22912,0.0779,0.15894590846047157,0.8409556746482849,0.9126164317131042,0.8020911812782288,2.6187150837988826e-05,0.2083100558659218,0.005979399441340782
local,CAFREC_kuairand_pure_ctx_smoke_capbeyond512_seed2020.json,CAFREC,2020,512.0,22912,0.063,0.06449375866851595,0.8419334292411804,0.9186626672744751,0.803773820400238,0.0,0.23821578212290503,0.004429993016759777
local,CAFREC_kuairand_pure_ctx_smoke_shuf_seed42.json,CAFREC,42,,22912,0.0482,0.014424410540915394,0.8549310564994812,0.9435598850250244,0.8262501955032349,0.0,0.282070530726257,0.0
local,CAFREC_kuairand_pure_ctx_smoke_vec_seed42.json,CAFREC,42,,22912,0.0412,0.006102635228848821,0.8478915095329285,0.9445433616638184,0.8355572819709778,0.0,0.31894203910614527,0.0
local,Pop_kuairand_pure_pop_seed2020.json,Pop,2020,2048.0,22912,0.0357,0.003883495145631068,0.9581423401832581,0.9915425181388855,0.8673213124275208,0.0,0.07806826117318436,0.0
modal,CAFREC_kuairand_pure_ctx_bge_r4_s2020_seed2020_20260820-122352.json,CAFREC,2020,,22912,0.0787,0.21345353675450762,0.8203930854797363,0.9011775255203247,0.7886821627616882,3.928072625698324e-05,0.20766847067039107,0.004207402234636871
modal,CAFREC_kuairand_pure_ctx_bge_r4_s2021_seed2021_20260820-122711.json,CAFREC,2021,,22912,0.0785,0.22981969486823856,0.8052849173545837,0.8841025233268738,0.7891409993171692,1.7458100558659216e-05,0.17944745111731844,0.002208449720670391
modal,CAFREC_kuairand_pure_ctx_bge_r4_s403092_seed403092_20260820-123017.json,CAFREC,403092,,22912,0.0792,0.21969486823855755,0.8180682063102722,0.8989282250404358,0.7979599833488464,4.8009776536312846e-05,0.19075593575418995,0.005254888268156424
modal,CAFREC_kuairand_pure_ctx_bge_seq10_s2020_seed2020_20260825-151721.json,CAFREC,2020,,22912,0.0807,0.21262135922330097,0.8302403688430786,0.9059057235717773,0.8021271824836731,1.3093575418994413e-05,0.21694745111731845,0.0032952164804469276
modal,CAFREC_kuairand_pure_ctx_bge_seq10_s2021_seed2021_20260825-151811.json,CAFREC,2021,,22912,0.0774,0.2317614424410541,0.814565896987915,0.8897365927696228,0.7977158427238464,4.364525139664804e-06,0.18652671089385475,0.0014097416201117319
modal,CAFREC_kuairand_pure_ctx_bge_seq10_s403092_seed403092_20260825-151806.json,CAFREC,403092,,22912,0.0795,0.23106796116504855,0.8222280144691467,0.9047805666923523,0.7921425700187683,2.1822625698324023e-05,0.20174581005586592,0.001291899441340782
modal,CAFREC_kuairand_pure_ctx_bge_seq50_s2020_seed2020_20260825-152110.json,CAFREC,2020,,22912,0.0791,0.2549237170596394,0.8048359155654907,0.8800715208053589,0.7842973470687866,0.00024004888268156424,0.16265275837988827,0.005311627094972067
modal,CAFREC_kuairand_pure_ctx_bge_seq50_s2021_seed2021_20260825-152854.json,CAFREC,2021,,22912,0.0811,0.24147018030513176,0.8081257343292236,0.8869122266769409,0.7955151796340942,5.237430167597765e-05,0.1714647346368715,0.002806389664804469
modal,CAFREC_kuairand_pure_ctx_bge_seq50_s403092_seed403092_20260825-152157.json,CAFREC,403092,,22912,0.0794,0.22205270457697643,0.8062548041343689,0.8884069323539734,0.7895355224609375,4.3645251396648046e-05,0.1786836592178771,0.006066689944134078
